,Poll,Start_Date,End_Date,Approve,Disapprove,Spread,Sample,Population
0,Economist/YouGovYouGov,2016-12-24,2016-12-27,45.0,51.0,-6,1412,RV
1,Rasmussen ReportsRasmussen,2016-12-22,2016-12-22,51.0,47.0,+4,1000,LV
2,Economist/YouGovYouGov,2016-12-17,2016-12-20,46.0,50.0,-4,1185,RV
3,Reuters/IpsosReuters,2016-12-16,2016-12-20,52.0,48.0,+4,2065,A
4,USA Today/SuffolkUSA Today,2016-12-14,2016-12-18,41.0,46.0,-5,1000,RV
5,NBC News/Wall St. JrnlNBC/WSJ,2016-12-12,2016-12-15,40.0,46.0,-6,1000,A
6,FOX NewsFOX News,2016-12-11,2016-12-13,47.0,51.0,-4,1034,RV
7,Economist/YouGovYouGov,2016-12-10,2016-12-13,45.0,51.0,-6,1051,RV
8,Reuters/IpsosReuters,2016-12-09,2016-12-13,46.0,54.0,-8,1208,A
9,CBS NewsCBS News,2016-12-09,2016-12-13,32.0,42.0,-10,RV,
10,PPP (D)PPP (D),2016-12-06,2016-12-07,43.0,51.0,-8,1224,RV
11,McClatchy/MaristMcClatchy,2016-12-01,2016-12-09,45.0,52.0,-7,873,RV
12,Reuters/IpsosReuters,2016-12-02,2016-12-06,52.0,48.0,+4,1716,A
13,Economist/YouGovYouGov,2016-12-03,2016-12-05,44.0,52.0,-8,1170,RV
14,BloombergBloomberg,2016-12-02,2016-12-05,50.0,43.0,+7,999,A
15,Pew ResearchPew,2016-11-30,2016-12-05,37.0,58.0,-21,1502,A
16,GWU/BattlegroundGWU/Battleground,2016-11-28,2016-12-01,45.0,49.0,-4,1000,RV
17,Economist/YouGovYouGov,2016-11-28,2016-11-29,44.0,50.0,-6,1451,A
18,Reuters/IpsosReuters,2016-11-25,2016-11-29,48.0,52.0,-4,1704,A
19,Economist/YouGovYouGov,2016-11-19,2016-11-22,38.0,54.0,-16,1434,A
20,Reuters/IpsosReuters,2016-11-18,2016-11-22,48.0,52.0,-4,1645,A
21,CNN/ORCCNN/ORC,2016-11-17,2016-11-20,47.0,50.0,-3,1003,A
22,QuinnipiacQuinnipiac,2016-11-17,2016-11-20,44.0,46.0,-2,1071,RV
23,Economist/YouGovYouGov,2016-11-12,2016-11-15,44.0,54.0,-10,1345,RV
24,Reuters/IpsosReuters,2016-11-11,2016-11-15,48.0,52.0,-4,1761,A
25,GallupGallup,2016-11-09,2016-11-13,42.0,55.0,-13,1019,A
26,Economist/YouGovYouGov,2016-11-04,2016-11-07,39.0,60.0,-21,3677,LV
27,BloombergBloomberg,2016-11-04,2016-11-06,41.0,57.0,-16,799,LV
28,FOX NewsFOX News,2016-11-03,2016-11-06,38.0,60.0,-22,1295,LV
29,MonmouthMonmouth,2016-11-03,2016-11-06,34.0,55.0,-21,748,LV
30,GravisGravis,2016-11-03,2016-11-06,42.0,56.0,-14,16639,RV
31,NBC News/Wall St. JrnlNBC/WSJ,2016-11-03,2016-11-05,33.0,59.0,-26,1282,LV
32,Reuters/IpsosReuters,2016-11-02,2016-11-06,43.0,57.0,-14,2196,LV
33,ABC/Wash PostABC/WP,2016-11-02,2016-11-05,38.0,60.0,-22,1773,LV
34,FOX NewsFOX News,2016-11-01,2016-11-03,43.0,55.0,-12,1107,LV
35,McClatchy/MaristMcClatchy,2016-11-01,2016-11-03,36.0,61.0,-25,940,LV
36,GallupGallup,2016-10-30,2016-11-06,35.0,62.0,-27,A,
37,Reuters/IpsosReuters,2016-10-30,2016-11-03,44.0,56.0,-12,2021,LV
38,GallupGallup,2016-10-28,2016-11-04,35.0,62.0,-27,A,
39,Economist/YouGovYouGov,2016-10-30,2016-11-01,41.0,58.0,-17,1218,LV
40,GravisGravis,2016-10-31,2016-10-31,39.0,55.0,-16,5360,RV
41,Reuters/IpsosReuters,2016-10-29,2016-11-02,45.0,55.0,-10,2357,RV
42,CBS News/NY TimesCBS/NYT,2016-10-28,2016-11-01,33.0,56.0,-23,1333,RV
43,ABC/Wash PostABC/WP,2016-10-26,2016-10-29,39.0,58.0,-19,1165,LV
44,GallupGallup,2016-10-21,2016-10-27,34.0,63.0,-29,A,
45,FOX NewsFOX News,2016-10-22,2016-10-25,42.0,56.0,-14,1221,LV
46,Economist/YouGovYouGov,2016-10-22,2016-10-26,40.0,59.0,-19,1193,LV
47,CNN/ORCCNN/ORC,2016-10-20,2016-10-23,41.0,57.0,-16,779,LV
48,GravisGravis,2016-10-20,2016-10-23,38.0,56.0,-18,2109,RV
49,Reuters/IpsosReuters,2016-10-20,2016-10-24,39.0,61.0,-22,1506,RV
50,USA Today/SuffolkUSA Today,2016-10-20,2016-10-24,31.0,61.0,-30,1000,LV
51,Associated Press-GfKAP-GfK,2016-10-20,2016-10-24,34.0,64.0,-30,1212,LV
52,Economist/YouGovYouGov,2016-10-15,2016-10-18,36.0,63.0,-27,925,RV
53,GallupGallup,2016-10-14,2016-10-20,31.0,66.0,-35,A,
54,FOX NewsFOX News,2016-10-15,2016-10-17,40.0,59.0,-19,912,LV
55,BloombergBloomberg,2016-10-14,2016-10-17,37.0,62.0,-25,1006,LV
56,Reuters/IpsosReuters,2016-10-13,2016-10-17,42.0,58.0,-16,1501,RV
57,MonmouthMonmouth,2016-10-14,2016-10-16,27.0,62.0,-35,726,LV
58,CBS NewsCBS News,2016-10-12,2016-10-16,30.0,59.0,-29,1189,LV
59,ABC News/Wash PostABC/WP,2016-10-10,2016-10-13,37.0,62.0,-25,740,LV
60,NBC News/Wall St. JrnlNBC/WSJ,2016-10-10,2016-10-13,29.0,62.0,-33,1000,RV
61,FOX NewsFOX News,2016-10-10,2016-10-12,38.0,61.0,-23,917,LV
62,GWU/BattlegroundGWU/Battleground,2016-10-08,2016-10-13,37.0,61.0,-24,1000,LV
63,GallupGallup,2016-10-07,2016-10-13,31.0,65.0,-34,A,
64,NBC News/Wall St. JrnlNBC/WSJ,2016-10-08,2016-10-10,30.0,53.0,-23,900,RV
65,Reuters/IpsosReuters,2016-10-06,2016-10-10,41.0,59.0,-18,3094,RV
66,NBC News/Wall St. JrnlNBC/WSJ,2016-10-08,2016-10-09,29.0,63.0,-34,500,RV
67,Economist/YouGovYouGov,2016-10-07,2016-10-08,34.0,63.0,-29,971,RV
68,FOX NewsFOX News,2016-10-03,2016-10-06,42.0,57.0,-15,896,LV
69,GallupGallup,2016-09-29,2016-10-06,32.0,63.0,-31,A,
70,Economist/YouGovYouGov,2016-10-01,2016-10-03,37.0,61.0,-24,911,RV
71,Reuters/IpsosReuters,2016-09-29,2016-10-03,44.0,56.0,-12,1669,RV
72,CBS NewsCBS News,2016-09-28,2016-10-02,32.0,55.0,-23,1217,RV
73,CNN/ORCCNN/ORC,2016-09-28,2016-10-02,39.0,59.0,-20,1213,LV
74,ABC News/Wash PostABC/WP,2016-09-28,2016-09-30,37.0,61.0,-24,RV,
75,FOX NewsFOX News,2016-09-27,2016-09-29,43.0,55.0,-12,911,LV
76,PPP (D)PPP (D),2016-09-27,2016-09-28,39.0,55.0,-16,933,LV
77,GallupGallup,2016-09-23,2016-09-29,33.0,62.0,-29,A,
78,Reuters/IpsosReuters,2016-09-22,2016-09-26,43.0,57.0,-14,1411,RV
79,BloombergBloomberg,2016-09-21,2016-09-24,42.0,56.0,-14,1002,LV
80,MonmouthMonmouth,2016-09-22,2016-09-25,34.0,56.0,-22,729,LV
81,ABC News/Wash PostABC/WP,2016-09-19,2016-09-22,38.0,57.0,-19,834,RV
82,Economist/YouGovYouGov,2016-09-22,2016-09-24,35.0,63.0,-28,948,RV
83,GallupGallup,2016-09-15,2016-09-21,33.0,62.0,-29,A,
84,McClatchy/MaristMcClatchy,2016-09-15,2016-09-20,37.0,61.0,-24,758,LV
85,Economist/YouGovYouGov,2016-09-18,2016-09-19,36.0,60.0,-24,1300,A
86,NBC News/Wall St. JrnlNBC/WSJ,2016-09-16,2016-09-19,28.0,61.0,-33,1000,RV
87,Reuters/IpsosReuters,2016-09-15,2016-09-19,42.0,58.0,-16,1457,RV
88,Associated Press-GfKAP-GfK,2016-09-15,2016-09-16,37.0,60.0,-23,1251,LV
89,FOX NewsFOX News,2016-09-11,2016-09-14,44.0,54.0,-10,867,LV
90,QuinnipiacQuinnipiac,2016-09-08,2016-09-13,35.0,59.0,-24,960,LV
91,CBS News/NY TimesCBS/NYT,2016-09-09,2016-09-13,33.0,53.0,-20,1753,A
92,GallupGallup,2016-09-09,2016-09-15,34.0,61.0,-27,A,
93,Economist/YouGovYouGov,2016-09-10,2016-09-13,36.0,62.0,-26,1300,A
